request_file	current_alpha_row	completion_packets	classification
ask-turn-500s.md	1	omega-008	open
chat-turn-context-items.md	2	omega-026	open
document-knowledge-ingestion.md	3	omega-016	open
document-mark-payload-validation.md	4	omega-006	open
persona-override-per-turn.md	5	omega-026	open
live-collaboration-presence.md	6	omega-014	open
asset-library-owner-scope.md	7	omega-038,omega-039	open
agents-console-scope.md	8	omega-019,omega-038,omega-039	open
resource-access-enforcement.md	9	omega-009,omega-010	open
project-level-presence.md	10	omega-014,omega-018	open
