local_path	classification	completion_owner
docs/current-docs/notion/primary/architecture-enterprise-control-plane--3acb6410e502.md	backend-packets	omega-040,omega-041,omega-042,omega-043
docs/current-docs/notion/primary/architecture-taurus-alpha-frontend-system-index--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/architecture-taurus-layered-application-model--3acb6410e502.md	backend-packets	omega-004,omega-011,omega-013,omega-014,omega-042,omega-043
docs/current-docs/notion/primary/architecture-user-cell-and-project-subcell-runtime--3acb6410e502.md	backend-packets	omega-011,omega-013,omega-014
docs/current-docs/notion/primary/deployment-taurus-topology-and-scaling-model--3acb6410e502.md	backend-packets	omega-042,omega-043,omega-044
docs/current-docs/notion/primary/design-accessibility-and-visual-legibility--392b6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-color-light-and-material-system--64f538abd9ec.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-emotional-and-aesthetic-doctrine--392b6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-interaction-and-disclosure-system--e12b6939dbc4.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-marketing-surface-aesthetic--394b6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-motion-and-feedback-language--39ab6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-visual-identity-and-system-index--392b6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-visual-language-tokens-and-resource-signatures--39ab6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/design-multi-lattice-ingestion-architecture--3acb6410e502.md	backend-packets	omega-028,omega-029,omega-030,omega-031
docs/current-docs/notion/primary/design-text-lattice-ingestion-pipeline--3acb6410e502.md	backend-packets	omega-002,omega-003,omega-005,omega-016,omega-028
docs/current-docs/notion/primary/export-document-to-docx--3acb6410e502.md	backend-packet	omega-035
docs/current-docs/notion/primary/export-document-to-pdf--3acb6410e502.md	backend-packet	omega-035
docs/current-docs/notion/primary/export-slides-to-pdf--3acb6410e502.md	backend-packet	omega-037
docs/current-docs/notion/primary/export-slides-to-pptx--3acb6410e502.md	backend-packet	omega-037
docs/current-docs/notion/primary/export-spreadsheet-to-pdf--3acb6410e502.md	backend-packet	omega-036
docs/current-docs/notion/primary/export-spreadsheet-to-xlsx--3acb6410e502.md	backend-packet	omega-036
docs/current-docs/notion/primary/implementation-control-plane-user-cell-and-project-subcell-integration--3acb6410e502.md	backend-packets	omega-011,omega-012,omega-013,omega-014,omega-038,omega-039,omega-040,omega-041,omega-042,omega-043
docs/current-docs/notion/primary/implementation-multi-lattice-ingestion-and-migration-plan--3acb6410e502.md	backend-packets	omega-028,omega-029,omega-030,omega-031,omega-032,omega-033
docs/current-docs/notion/primary/implementation-user-agents-and-personality-library--3acb6410e502.md	backend-packets	omega-019,omega-038,omega-039
docs/current-docs/notion/primary/implementation-user-context-library--3acb6410e502.md	backend-packets	omega-038,omega-039
docs/current-docs/notion/primary/implementation-user-template-library--3acb6410e502.md	backend-packets	omega-020,omega-038,omega-039
docs/current-docs/notion/primary/import-docx-to-document--3acb6410e502.md	backend-packet	omega-035
docs/current-docs/notion/primary/import-pptx-to-slides--3acb6410e502.md	backend-packet	omega-037
docs/current-docs/notion/primary/import-xlsx-to-spreadsheet--3acb6410e502.md	backend-packet	omega-036
docs/current-docs/notion/primary/interface-chat-editor-context-panel-lenses--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/interface-chat-editor-inspector-panel-lenses--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/interface-slides-editor-context-panel-lenses--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/interface-slides-editor-inspector-panel-lenses--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/interface-spreadsheet-editor-context-panel-lenses--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/interface-spreadsheet-editor-inspector-panel-lenses--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/model-chat-capability-and-runtime-contract--3abb6410e502.md	backend-packets	omega-025,omega-026
docs/current-docs/notion/primary/model-document-context--3adb6410e502.md	backend-packets	omega-009,omega-015,omega-017,omega-039
docs/current-docs/notion/primary/model-document-inspector--3adb6410e502.md	backend-packets	omega-009,omega-010,omega-015,omega-017
docs/current-docs/notion/primary/model-identity-organization-project-ownership-and-access--3acb6410e502.md	backend-packets	omega-040,omega-041
docs/current-docs/notion/primary/model-media-capability-and-descriptor-lattice--3acb6410e502.md	backend-packets	omega-030,omega-034
docs/current-docs/notion/primary/model-slides-capability-and-runtime-contract--3abb6410e502.md	backend-packets	omega-023,omega-024,omega-037
docs/current-docs/notion/primary/model-spreadsheet-capability-and-runtime-contract--3abb6410e502.md	backend-packets	omega-021,omega-022,omega-036
docs/current-docs/notion/primary/model-structured-data-capability-and-descriptor-lattice--3acb6410e502.md	backend-packet	omega-029
docs/current-docs/notion/primary/model-workspace-capability-and-runtime-contract--3acb6410e502.md	backend-packets	omega-012,omega-027
docs/current-docs/notion/primary/program-taurus-alpha-frontend-completion-work-packets--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/primary/program-taurus-omega-backend-completion-work-packets--3adb6410e502.md	backend-program	omega-program
docs/current-docs/notion/primary/workstreams-taurus-product-completion--3acb6410e502.md	program-index	omega-program,alpha-program
docs/current-docs/notion/supporting/architecture-application-routes-screens-and-scope-gates--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/architecture-feature-modules-controllers-selectors-and-view-models--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/architecture-frontend-runtime-model-and-governing-invariants--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/architecture-frontend-synchronization-replicas-and-reconciliation--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/architecture-interaction-intent-and-operation-pipeline--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/architecture-workbench-shell-workspace-and-stage-lifecycle--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/experience-organization-administration--3acb6410e502.md	backend-packet	omega-041
docs/current-docs/notion/supporting/implementation-taurus-alpha-architecture-migration-and-completion-basis--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/implementation-workspace-backend--3acb6410e502.md	backend-packets	omega-012,omega-027
docs/current-docs/notion/supporting/implementation-workspace-frontend--3acb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/settings-user-and-project--3acb6410e502.md	backend-packets	omega-040,omega-041
docs/current-docs/notion/supporting/system-accessibility-focus-and-keyboard-runtime--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/system-ai-quarterback-frontend-runtime--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/system-context-rail-and-lens-runtime--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/system-frontend-component-library-and-composition-contract--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/system-inspector-and-selection-runtime--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/system-overlay-modal-menu-and-transient-workflow-runtime--3adb6410e502.md	frontend-only	alpha-program
docs/current-docs/notion/supporting/system-resource-editor-host-and-adapter-contract--3adb6410e502.md	frontend-only	alpha-program
